id,value,feed_id,created_at,lat,lon,ele
0FSS6ZPWRM6T0FN0P7JKX1CKPH,Door 1 CLOSED,2991705,2025-01-26 06:56:40 UTC,0.0,0.0,0.0
0FSSM0QJHT0D96SNYB21NS0MWF,Door 1 OPEN,2991705,2025-01-26 19:05:28 UTC,0.0,0.0,0.0
0FSSM0QYKVD9EAW53TRD5E2Q7T,Door 1 CLOSED,2991705,2025-01-26 19:05:29 UTC,0.0,0.0,0.0
0FSSQ8CMYJ6JVEEKVDA87GH6CT,Door 1 OPEN,2991705,2025-01-26 22:06:37 UTC,0.0,0.0,0.0
0FSSQ8D71QXCKKZHESB62MY3ZA,Door 1 CLOSED,2991705,2025-01-26 22:06:39 UTC,0.0,0.0,0.0
0FSSQ8DEEGFZGQXV0AN71X15FS,Door 1 OPEN,2991705,2025-01-26 22:06:40 UTC,0.0,0.0,0.0
0FSSQ8P6DHQTR87S0VDGR63ZV4,Door 1 CLOSED,2991705,2025-01-26 22:07:08 UTC,0.0,0.0,0.0
0FSSQBE6WHTNECCGNW2PK6PER0,Door 1 OPEN,2991705,2025-01-26 22:11:57 UTC,0.0,0.0,0.0
0FSSQBJG3BQSHSY4P2EHM7TBK4,Door 1 CLOSED,2991705,2025-01-26 22:12:11 UTC,0.0,0.0,0.0
0FSSQC288CKQXBFVJGXZCR32WT,Door 1 OPEN,2991705,2025-01-26 22:13:03 UTC,0.0,0.0,0.0
0FSSQCEFNBGYPZJFJFKMHQ8GAW,Door 1 CLOSED,2991705,2025-01-26 22:13:43 UTC,0.0,0.0,0.0
0FSSQEYNDJWXE67KHWRFMJ35TY,Door 1 OPEN,2991705,2025-01-26 22:18:05 UTC,0.0,0.0,0.0
0FSSQKNZ00R2WPYG5CDC3F2JNJ,Door 1 CLOSED,2991705,2025-01-26 22:26:21 UTC,0.0,0.0,0.0
0FSSRAS3NQ8VBFJDTX0Q2TKSDA,Door 1 OPEN,2991705,2025-01-26 23:06:43 UTC,0.0,0.0,0.0
0FSSRB4498W26YNFE3024K3X9K,Door 1 CLOSED,2991705,2025-01-26 23:07:19 UTC,0.0,0.0,0.0
0FSSRE488XQ12P6BJGTXD2WB3J,Door 1 OPEN,2991705,2025-01-26 23:12:34 UTC,0.0,0.0,0.0
0FSSRE4YWKSKEDX5NNDFJQ9SY0,Door 1 CLOSED,2991705,2025-01-26 23:12:37 UTC,0.0,0.0,0.0
0FSSRH461Q48CB2GB55658CGXD,Door 1 OPEN,2991705,2025-01-26 23:17:49 UTC,0.0,0.0,0.0
0FSSRHBK6MGG3HNRHPP9E1G1QR,Door 1 CLOSED,2991705,2025-01-26 23:18:13 UTC,0.0,0.0,0.0
0FSSSN3X27RS9TDVZDY9ECA65J,Door 1 OPEN,2991705,2025-01-27 00:20:43 UTC,0.0,0.0,0.0
0FSSSN48SQR5AKGQX2XJCP4YYX,Door 1 CLOSED,2991705,2025-01-27 00:20:44 UTC,0.0,0.0,0.0
0FSSSZ86JGZJ7PABZ2RFZ25E81,Door 1 OPEN,2991705,2025-01-27 00:38:25 UTC,0.0,0.0,0.0
0FSSSZA9AVCF30RGADDJD762K9,Door 1 CLOSED,2991705,2025-01-27 00:38:32 UTC,0.0,0.0,0.0
0FSSTT4RCEJE6R4ZV10V1MY5D6,Door 1 OPEN,2991705,2025-01-27 01:25:25 UTC,0.0,0.0,0.0
0FSSTTMWG4NRNSSS1J3KZBSK2F,Door 1 CLOSED,2991705,2025-01-27 01:26:18 UTC,0.0,0.0,0.0
0FSSTVNQ18QVJQGR8YMHQM1C4X,Door 1 OPEN,2991705,2025-01-27 01:28:05 UTC,0.0,0.0,0.0
0FSSTVQQ6ZJ3PZEGA84W24MY6H,Door 1 CLOSED,2991705,2025-01-27 01:28:12 UTC,0.0,0.0,0.0
0FSSV68BY6S0KZ5K7SEVMVF614,Door 1 OPEN,2991705,2025-01-27 01:46:35 UTC,0.0,0.0,0.0
0FSSV6996KT0V7AB02EJF5MJE3,Door 1 CLOSED,2991705,2025-01-27 01:46:38 UTC,0.0,0.0,0.0
0FSSV6C93DV3WHAWJY26ES84YR,Door 1 OPEN,2991705,2025-01-27 01:46:48 UTC,0.0,0.0,0.0
0FSSV6DX4JQHNBWANGAK3E1674,Door 1 CLOSED,2991705,2025-01-27 01:46:53 UTC,0.0,0.0,0.0
0FSSV6XB7C992S480WE6HA83Y0,Door 1 OPEN,2991705,2025-01-27 01:47:44 UTC,0.0,0.0,0.0
0FSSV6Y11C8B2A542RF6KPKWWY,Door 1 CLOSED,2991705,2025-01-27 01:47:46 UTC,0.0,0.0,0.0
0FSSVPPBK3MXB38899S10SNANB,Door 1 OPEN,2991705,2025-01-27 02:15:19 UTC,0.0,0.0,0.0
0FSSVPQBZ3QXCND523AMVW5ARC,Door 1 CLOSED,2991705,2025-01-27 02:15:22 UTC,0.0,0.0,0.0
0FSSXSW5YC2A8XCM6KW6ES79R9,Door 1 OPEN,2991705,2025-01-27 04:12:43 UTC,0.0,0.0,0.0
